school_name,address,school_type,city,zip_code,grades_offered,website
Brooklyn Park Middle School,200 Hammonds Lane,Middle,Baltimore,21225,6th-8th,https://www.aacps.org/o/brooklynparkms
Chesapeake Bay Middle School,4804 Mountain Rd,Middle,Pasadena,21122,6th-8th,https://www.aacps.org/o/chesapeakebayms
Corkran Middle School,7600 Quarterfield Road,Middle,Severn,21061,6th-8th,https://www.aacps.org/o/corkranms
Lindale Middle School,415 Andover Road,Middle,Linthicum Heights,21090,6th-8th,https://www.aacps.org/o/lindalems
MacArthur Middle School,3500 Rockenbach Road,Middle,Fort George G. Meade,20755,6th-8th,https://www.aacps.org/o/macarthurms
Marley Middle School,10 Davis Court,Middle,Glen Burnie,21060,6th-8th,https://www.aacps.org/o/marleymms
Meade Middle School,1103 26th Street,Middle,Fort George G. Meade,20755,6th-8th,https://www.aacps.org/o/meadems
Northeast Middle School,7922 Outing Avenue,Middle,Pasadena,21122,6th-8th,https://www.aacps.org/o/northeastms
Old Mill Middle North School,610 Patriot Lane,Middle,Millersville,21108,6th-8th,https://www.aacps.org/o/oldmillmiddlenorth
Old Mill Middle South School,620 Patriot Lane,Middle,Millersville,21108,6th-8th,https://www.aacps.org/o/oldmillmiddlesouth
Magothy River Middle School,241 Peninsula Farm Road,Middle,Arnold,21012,6th-8th,https://www.aacps.org/o/magothyriverms
Severn River Middle School,241 Peninsula Farm Road,Middle,Arnold,21012,6th-8th,https://www.aacps.org/o/severnriverms
Severna Park Middle School,450 Jumpers Hole Road,Middle,Severna Park,21146,6th-8th,https://www.aacps.org/o/severnaparkms
Southern Middle School,5235 Solomons Island Road,Middle,Lothian,20711,6th-8th,https://www.aacps.org/o/southernms
Annapolis Middle School,1399 Forest Drive,Middle,Annapolis,21403,6th-8th,https://www.aacps.org/o/annapolisms
Bates Middle School,701 Chase Street,Middle,Annapolis,21401,6th-8th,https://www.aacps.org/o/batesms
Central Middle School,221 Central Avenue East,Middle,Edgewater,21037,6th-8th,https://www.aacps.org/o/centralms
Crofton Middle School,2301 Davidsonville Road,Middle,Gambrills,21054,6th-8th,https://www.aacps.org/o/croftonms
Arundel Middle School,1179 Hammond Lane,Middle,Odenton,21113,6th-8th,https://www.aacps.org/o/arundelms
